id,username,email,role,make,acceleration,top_speed,electric_range,total_power,total_torque,drive,battery_capacity,length,width,height,wheelbase,gross_vehicle_weight,max_payload,cargo_volume,seats,maintenance_cost,pincode,date,time,latitude,longitude,vehicle_status,battery_level,range
1,zsmith,zsmith@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,3458.56,12512,2024-03-10,16:43:40,-54.666991,114.80165,1,12,54.0
2,tmclaughlin,tmclaughlin@gmail.com,Driver,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,2085.88,45574,2024-02-17,07:58:42,15.599772,50.9778,0,97,412.25
3,farmershannon,farmershannon@gmail.com,Driver,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4787.93,85048,2024-06-09,15:34:43,-81.801882,44.901155,0,90,436.5
4,zharper,zharper@gmail.com,Driver,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3714.71,23225,2024-03-29,22:59:06,-80.267788,94.369261,1,32,150.4
5,morrisonjonathan,morrisonjonathan@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4921.62,20551,2024-10-14,17:00:53,53.779579,23.827511,0,81,364.5
6,jameshawkins,jameshawkins@gmail.com,Driver,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4446.33,36422,2024-09-05,03:19:27,-64.716727,177.025433,1,46,211.6
7,eric44,eric44@gmail.com,Driver,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2157.63,41496,2024-08-27,03:31:12,-31.602852,-46.092594,1,26,119.6
8,laura73,laura73@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,2739.36,18820,2024-10-20,22:08:05,85.665228,95.425912,1,80,360.0
9,jennifer31,jennifer31@gmail.com,Driver,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,2409.65,96715,2024-01-18,17:58:49,-25.215477,14.476705,0,24,102.0
10,perrydaniel,perrydaniel@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,1605.71,50303,2024-09-02,20:38:40,-24.360759,-114.352049,1,99,445.5
11,clarence86,clarence86@gmail.com,Driver,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2557.34,31619,2024-07-28,03:58:53,2.401891,-111.734925,0,28,135.8
12,brownmatthew,brownmatthew@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4133.38,69530,2024-06-25,09:19:41,82.244358,-92.710687,1,44,198.0
13,justin76,justin76@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2339.97,72958,2024-04-19,09:19:18,64.447411,111.69926,1,38,184.3
14,kevin83,kevin83@gmail.com,Driver,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1959.41,52962,2024-07-09,04:45:51,-57.966316,-113.416441,0,14,67.9
